Strain	Species	Heterozygous	heterozygosity	Aneuploidies	#aneuploidies	VarScanTP	VarsScanTN	VarScanFP	VarScanFN	CFTP	CFTN	CFFP	CFFN	nQuireTP	nQuireTN	nQuireFP	nQuireFN	ploidyNGSTP	ploidyNGSTN	ploidyNGSFP	ploidyNGSFN	vcf2alleleplotTP	vcf2alleleplotTN	vcf2alleleplotFP	vcf2alleleplotFN	YmapTP	YmapTN	YmapFP	YmapFN
YJM1549	Scer	FALSE	0.000393197	"+1n@1,6,11"	3	1.5	3	0	1.5	2.5	13	0	0.5	0.5	10	5	0.5	0	12	1	3	0	13	0	3	0.5	13	0	2.5
YJM1574	Scer	FALSE	0.000174249	"+1n@1,6"	2	2	14	0	0	2	14	0	0	1	11.5	3	0.5	0	14	0	2	0	14	0	2	1	14	0	1
19F	Calb	TRUE	0.004148565	+1n@7	1	1	7	0	0	1	7	0	0	1	6	1	0	1	7	0	0	1	7	0	0	1	7	0	0
CEC3555	Calb	TRUE	0.005695289	+1n@6	1	1	7	0	0	1	7	0	0	1	7	0	0	1	7	0	0	1	7	0	0	1	7	0	0
CEC3597	Calb	TRUE	0.005239701	+1n@2	1	1	7	0	0	1	7	0	0	1	7	0	0	1	7	0	0	1	7	0	0	1	7	0	0
CEC3601	Calb	TRUE	0.006508685	+1n@R	1	0	7	0	1	0	7	0	1	0	7	0	1	1	7	0	0	1	7	0	0	0	7	0	1
CEC3612	Calb	TRUE	0.00533972	+1n@5	1	0	7	0	1	0	7	0	1	0	7	0	1	1	7	0	0	1	7	0	0	0	7	0	1
CEC3614	Calb	TRUE	0.005374389	+1n@5	1	1	7	0	0	1	7	0	0	1	7	0	0	1	7	0	0	1	7	0	0	1	7	0	0
CEC3658	Calb	TRUE	0.004330186	No	0	0	8	0	0	0	8	0	0	0	7	1	0	0	8	0	0	0	8	0	0	0	8	0	0
CEC4479	Calb	TRUE	0.005288205	No	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0
CEC4480	Calb	TRUE	0.005202218	No	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0
CEC4481	Calb	TRUE	0.004811312	No	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0
CEC4482	Calb	TRUE	0.004339735	No	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0
CEC4484	Calb	TRUE	0.00477561	+1n@7	1	1	7	0	0	1	7	0	0	1	7	0	0	1	7	0	0	1	7	0	0	1	7	0	0
CEC4495	Calb	TRUE	0.005127276	"+1n@5,R"	2	2	6	0	0	2	6	0	0	2	5	1	0	2	6	0	0	2	6	0	0	2	6	0	0
CEC4857	Calb	TRUE	0.002494304	No	0	0	8	0	0	0	4	4	0	0	3	5	0	0	7	1	0	0	8	0	0	0	5	3	0
CEC4858	Calb	TRUE	0.002458283	-1n@3	1	1	7	0	0	1	7	0	0	1	6	1	0	1	7	0	0	1	7	0	0	1	7	0	0
CEC4886	Calb	TRUE	0.002454596	No	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0
GC75	Calb	TRUE	0.005616811	No	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0
P60002	Calb	TRUE	0.004090322	"+1n@4,6"	2	2	6	0	0	2	6	0	0	2	5	1	0	2	5	1	0	2	6	0	0	2	6	0	0
P75010	Calb	TRUE	0.004555996	+1n@5	1	1	7	0	0	1	7	0	0	0.5	5	2	0.5	0	8	0	0	0	7	0	1	1	7	0	0
P75016	Calb	TRUE	0.005889412	No	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0
P75063	Calb	TRUE	0.004442814	No	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0
P78042	Calb	TRUE	0.005559845	+1n@4	1	1	7	0	0	1	7	0	0	1	7	0	0	1	7	0	0	1	7	0	0	1	7	0	0
P87	Calb	TRUE	0.003719939	No	0	0	8	0	0	0	8	0	0	0	7	1	0	0	8	0	0	0	8	0	0	0	8	0	0
