ID	other_names	genome_data	library_prep	geographical_origin	ecological_origin	substrate	ecology_category	monosporic_derivative	ploidyFACS	ploidyBAF	aneuploidy_BAF	aneuploidy_RD	aneuploidy_binary	aneuploidy_type	RD_aneuploidy	Contaminated	Chr_end_bias	High_var	basename	avg_cov	population_old	pop_summary	population_new	heterozygosity	reference
EXF6761	NA	PRJEB7601	NA	Cerkvenjak_Slovenia	Quercus_petraea	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	EXF6761	45	Wine	Wine	GRAPE.WINE	0.000139147	Almeida_et_al_2015
EXF6780	NA	PRJEB7601	NA	Velike_La_e_Kobila_hill_Slovenia	Quercus_petraea	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	EXF6780	75	Mosaic	Mosaic	ADMIXED	0.000295208	Almeida_et_al_2015
EXF7145	NA	SRP059414	NA	Fruska_Gora_National_Park_Novi_Sad_Serbia	Quercus_robur	NA	Tree	No	NA	2	+1@10	+1@10	Yes	Gain	Yes	0.03	No	No	EXF7145	67	Mosaic	Mosaic	ADMIXED	0.002862808	Almeida_et_al_2015
EXF7197	NA	SRP059414	NA	On_the_road_from_Durmitor_to_Niksic_(Jasenovo_polje)_Montenegro	Quercus_robur	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	0.05	No	No	EXF7197	39	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000138961	Almeida_et_al_2015
EXF7200	NA	SRP059414	NA	On_the_road_from_Durmitor_to_Niksic_(Jasenovo_polje)_Montenegro	Quercus_robur	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	0.03	No	No	EXF7200	51	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000146389	Almeida_et_al_2015
FGXd	NA	SRP059414	NA	Hotel_Anixi_Anixi_Southern_Greece	Ficus_carica	NA	Fruit	Yes	NA	Unknown	No	No	No	No	No	No	No	No	FGXd	56	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.00013581	Almeida_et_al_2015
HUN9.1s1	DBS14	PRJEB7601	NA	Hungary_	Oak_(isolate_provided_by_Eladio_Barrio)	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	Yes	HUN9.1s1	108	Mediterranean_oak	Mediterranean_oak	GRAPE.WINE	0.000247463	Almeida_et_al_2015
IOC9002	NA	SRP059414	NA	NA	Commercial_wine_yeast	NA	Commercial	Yes	NA	Unknown	No	No	No	No	No	No	No	No	IOC9002	52	Wine	Wine	GRAPE.WINE	0.000117385	Almeida_et_al_2015
MB7c	NA	SRP059414	NA	Montbarri_Southern_France	Quercus_pubescens	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	0.05	No	No	MB7c	58	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000144233	Almeida_et_al_2015
PW5	NA	PRJNA60181	NA	Aba_Abia_state_Nigeria	Raphia_palm_wine	NA	Fermentation	Yes	NA	NA	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	No	Yes	PW5	2	West_Africa	West_Africa	TBD	0.000216025	Almeida_et_al_2015
PYR4e	NA	SRP059414	NA	Agios_Ioannis_near_Pyrgadikia_Northern_Greece	Quercus_pubescens	NA	Tree	Yes	NA	NA	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	0.1	No	Yes	PYR4e	12	Mediterranean_oak	Mediterranean_oak	ADMIXED	0.000347231	Almeida_et_al_2015
RM11-1a	Bb32	PRJNA13674	NA	California_USA	Vineyard	NA	Wine	Yes	NA	Unknown	No	No	No	No	No	No	No	No	RM11-1a	157	Wine	Wine	GRAPE.WINE	0.000155978	Almeida_et_al_2015
S288c	NA	Reference	NA	California_USA	Laboratory_strain	NA	Lab	Yes	NA	NA	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	No	Yes	S288C	1	Mosaic	Mosaic	TBD	0	Almeida_et_al_2015
SDO2s1	NA	PRJEB7601	NA	North_Carolina_USA	Oak	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	SDO2s1	116	North_America/Japan	North_America/Japan	NC.OAK	0.000339168	Almeida_et_al_2015
SDO3s1	NA	PRJEB7601	NA	North_Carolina_USA	Oak	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	SDO3s1	128	North_America/Japan	North_America/Japan	NC.OAK	0.000343188	Almeida_et_al_2015
SDO6s1	NA	PRJEB7601	NA	North_Carolina_USA	Oak	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	SDO6s1	85	North_America/Japan	North_America/Japan	NC.OAK	0.000337303	Almeida_et_al_2015
SDO8s1	NA	PRJEB7601	NA	North_Carolina_USA	Oak	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	SDO8s1	95	North_America/Japan	North_America/Japan	NC.OAK	0.000332348	Almeida_et_al_2015
SM69s1	NA	PRJEB7601	NA	North_Carolina_USA	Oak	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	SM69s1	81	North_America/Japan	North_America/Japan	NC.OAK	0.000336691	Almeida_et_al_2015
SON4c	NA	SRP059414	NA	Sonim_Portugal	Ficus_carica	NA	Fruit	Yes	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	0.05	No	No	SON4c	25	Mosaic	Mosaic	ADMIXED	0.000103286	Almeida_et_al_2015
T7	T7_Fay	PRJNA60387	NA	Babler_State_Park_Missouri_USA	Oak_exudate	NA	Tree	Yes	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	No	Yes	T7	1	North_America/Japan	North_America/Japan	SAKE	0.000228495	Almeida_et_al_2015
T73	NA	PRJNA60195	NA	Alicante_Spain	Red_wine_prepared_from_a_Monastrel_grape	NA	Wine	Yes	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	No	Yes	T73	2	Mosaic	Mosaic	CANNOTCLASSIFY	0.000482994	Almeida_et_al_2015
UC5	UCD612	PRJNA60197	NA	Kurashi_Japan	Sene_sake	NA	Sake	Yes	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	No	Yes	UC5	4	Sake/Philippines	Sake/Philippines	TBD	0.000132124	Almeida_et_al_2015
VelF	NA	SRP059414	NA	Velanidias_Southern_Greece	Ficus_carica	NA	Fruit	Yes	NA	2	No	No	No	No	No	0.05	No	No	VelF	40	Wine	Wine	GRAPE.WINE	0.000501069	Almeida_et_al_2015
YJM269	NA	PRJNA60389	NA	Unknown	Fermentation_(apple_juice)	NA	Fermentation	Yes	NA	Unknown	No	+1@1	Yes	Gain	Yes	No	No	Yes	YJM269	52	Mosaic	Mosaic	PHILIPPINES	0.000288342	Almeida_et_al_2015
YPS1000	NA	SRP059414	NA	New_Jersey_USA	Oak_exudate	NA	Tree	Yes	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	0.2	No	Yes	YPS1000	7	YPS1000	YPS1000	GRAPE.WINE	0.000199643	Almeida_et_al_2015
ZP1008	NA	SRP059414	NA	Eja_Melres_Douro_Portugal	Quercus_faginea	NA	Tree	Yes	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	No	Yes	ZP1008	3	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000180403	Almeida_et_al_2015
ZP1041	NA	SRP059414	NA	Meda_Guarda_Portugal	Vineyard_soil	NA	Wine	Yes	NA	Unknown	No	No	No	No	No	0.05	No	No	ZP1041	38	Wine	Wine	GRAPE.WINE	0.000101286	Almeida_et_al_2015
ZP530	NA	PRJEB7601	NA	Marão_Campeã_Portugal	Castanea_sativa	NA	Flower	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP530	133	North_America/Japan	North_America/Japan	ADMIXED	0.000329765	Almeida_et_al_2015
ZP541	NA	PRJEB7601	NA	Adagoi_Portugal	Fagus_sylvatica	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	Yes	ZP541	124	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000258724	Almeida_et_al_2015
ZP560	NA	PRJEB7601	NA	Castelo_de_Vide_Portugal_	Quercus_pyrenaica	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	Yes	No	ZP560	83	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.00025571	Almeida_et_al_2015
ZP561	NA	PRJEB7601	NA	Castelo_de_Vide_Portugal_	Quercus_pyrenaica	NA	Tree	Yes	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	No	No	ZP561	5	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000169858	Almeida_et_al_2015
ZP562	NA	PRJEB7601	NA	Castelo_de_Vide_Portugal_	Quercus_ilex	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP562	87	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000254879	Almeida_et_al_2015
ZP563	NA	PRJEB7601	NA	Castelo_de_Vide_Portugal	Castanea_sativa	NA	Flower	Yes	NA	Unknown	No	No	No	No	No	0.03	No	No	ZP563	60	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000246271	Almeida_et_al_2015
ZP564	NA	PRJEB7601	NA	Castelo_de_Vide_Portugal_	Quercus_pyrenaica	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP564	425	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000266039	Almeida_et_al_2015
ZP565	NA	PRJEB7601	NA	Castelo_de_Vide_Portugal_	Castanea_sativa	NA	Flower	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP565	85	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000242338	Almeida_et_al_2015
ZP566	NA	PRJEB7601	NA	Castelo_de_Vide_Portugal_	Quercus_faginea	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP566	340	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000265728	Almeida_et_al_2015
ZP567	NA	PRJEB7601	NA	Castelo_de_Vide_Portugal_	Quercus_pyrenaica	NA	Tree	Yes	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	No	Yes	ZP567	2	Mediterranean_oak	Mediterranean_oak	LOW_COVERAGE	0.000151979	Almeida_et_al_2015
ZP568	NA	PRJEB7601	NA	Castelo_de_Vide_Portugal_	Quecus_pyrenaica	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP568	132	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000231126	Almeida_et_al_2015
ZP570	NA	PRJEB7601	NA	Paul_Boquilobo_Portugal	Fraxinus_sp.	NA	Flower	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP570	163	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000267232	Almeida_et_al_2015
ZP575	NA	PRJEB7601	NA	Castelo_de_Vide_Portugal_	Quercus_pyrenaica	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	Yes	ZP575	107	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000245662	Almeida_et_al_2015
ZP577	NA	PRJEB7601	NA	Aldeia_das_Dez_Portugal	Quercus_faginea	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP577	48	Wine	Wine	GRAPE.WINE	0.000143161	Almeida_et_al_2015
ZP578	NA	PRJEB7601	NA	Aldeia_das_Dez_Portugal	Quercus_faginea	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP578	119	Wine	Wine	GRAPE.WINE	0.000143797	Almeida_et_al_2015
ZP579	NA	PRJEB7601	NA	Aldeia_das_Dez_Portugal	Quercus_pyrenaica	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP579	84	Wine	Wine	GRAPE.WINE	0.000165466	Almeida_et_al_2015
ZP590	NA	PRJEB7601	NA	Castelo_de_Vide_Portugal_	Quercus_pyrenaica	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP590	170	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000269086	Almeida_et_al_2015
ZP633	NA	PRJEB7601	NA	Castelo_de_Vide_Portugal_	Quercus_pyrenaica	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP633	90	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000256496	Almeida_et_al_2015
ZP636	NA	PRJEB7601	NA	Castelo_de_Vide_Portugal_	Castanea_sativa	NA	Flower	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP636	71	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000263548	Almeida_et_al_2015
ZP641	NA	PRJEB7601	NA	Castelo_de_Vide_Portugal_	Spontaneous_red_wine_fermentation	NA	Wine	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP641	215	Wine	Wine	GRAPE.WINE	0.000137762	Almeida_et_al_2015
ZP649	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	No	No	ZP649	26	North_America/Japan	North_America/Japan	ADMIXED	0.000261757	Almeida_et_al_2015
ZP650	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP650	126	North_America/Japan	North_America/Japan	ADMIXED	0.000313629	Almeida_et_al_2015
ZP651	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP651	182	North_America/Japan	North_America/Japan	ADMIXED	0.000332699	Almeida_et_al_2015
ZP652	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	0.03	No	Yes	ZP652	82	North_America/Japan	North_America/Japan	ADMIXED	0.00033758	Almeida_et_al_2015
ZP653	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP653	109	North_America/Japan	North_America/Japan	JAPAN.1A.OAK	0.000323516	Almeida_et_al_2015
ZP654	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP654	97	North_America/Japan	North_America/Japan	JAPAN.1A.OAK	0.00032927	Almeida_et_al_2015
ZP655	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acuta	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP655	130	North_America/Japan	North_America/Japan	JAPAN.1A.OAK	0.000327549	Almeida_et_al_2015
ZP656	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acuta	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP656	103	North_America/Japan	North_America/Japan	JAPAN.1A.OAK	0.000330919	Almeida_et_al_2015
ZP657	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acuta	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP657	120	North_America/Japan	North_America/Japan	JAPAN.1A.OAK	0.000324073	Almeida_et_al_2015
ZP658	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acuta	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP658	146	North_America/Japan	North_America/Japan	JAPAN.1A.OAK	0.000327093	Almeida_et_al_2015
ZP674	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP674	109	North_America/Japan	North_America/Japan	ADMIXED	0.000324268	Almeida_et_al_2015
ZP675	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	0.03	No	No	ZP675	107	North_America/Japan	North_America/Japan	ADMIXED	0.000297363	Almeida_et_al_2015
ZP676	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP676	96	North_America/Japan	North_America/Japan	ADMIXED	0.000315043	Almeida_et_al_2015
ZP677	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP677	107	North_America/Japan	North_America/Japan	ADMIXED	0.000314013	Almeida_et_al_2015
ZP678	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP678	95	North_America/Japan	North_America/Japan	ADMIXED	0.000326647	Almeida_et_al_2015
ZP680	NA	PRJEB7601	NA	Chiba_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	"-1@1,3,6,7,11,14,15;+1@2,5,8,9,10,16"	Yes	Both	Yes	No	No	No	ZP680	39	North_America/Japan	North_America/Japan	ADMIXED	0.000288494	Almeida_et_al_2015
ZP736	NA	PRJEB7601	NA	Caratão_Abrantes_Portugal	Rotten_figs	NA	Fruit	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP736	79	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000236636	Almeida_et_al_2015
ZP742	NA	PRJEB7601	NA	Caratão_Abrantes_Portugal	Rotten_figs	NA	Fruit	Yes	NA	Unknown	No	No	No	No	No	0.03	No	No	ZP742	45	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000212626	Almeida_et_al_2015
ZP778	NA	PRJEB7601	NA	Hirusen_highland_Okayama_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	0.03	No	No	ZP778	79	North_America/Japan	North_America/Japan	JAPAN.2A.OAK	0.000338319	Almeida_et_al_2015
ZP779	NA	PRJEB7601	NA	Hirusen_highland_Okayama_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP779	100	North_America/Japan	North_America/Japan	JAPAN.2A.OAK	0.000352745	Almeida_et_al_2015
ZP780	NA	SRP059414	NA	Hirusen_highland_Okayama_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	No	Yes	ZP780	4	North_America/Japan	North_America/Japan	ADMIXED	0.00026941	Almeida_et_al_2015
ZP781	NA	PRJEB7601	NA	Hirusen_highland_Okayama_Perfecture_Japan	Quercus_serrata	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP781	103	North_America/Japan	North_America/Japan	ADMIXED	0.000311853	Almeida_et_al_2015
ZP783	NA	PRJEB7601	NA	Hirusen_highland_Okayama_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP783	114	North_America/Japan	North_America/Japan	ADMIXED	0.000345742	Almeida_et_al_2015
ZP784	NA	PRJEB7601	NA	Hirusen_highland_Okayama_Perfecture_Japan	Quercus_dentata	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP784	94	North_America/Japan	North_America/Japan	JAPAN.2B.OAK	0.000312065	Almeida_et_al_2015
ZP785	NA	PRJEB7601	NA	Hirusen_highland_Okayama_Perfecture_Japan	Quercus__dentata	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP785	84	North_America/Japan	North_America/Japan	JAPAN.2A.OAK	0.000345494	Almeida_et_al_2015
ZP786	NA	PRJEB7601	NA	Hirusen_highland_Okayama_Perfecture_Japan	Quercus_dentata	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP786	84	North_America/Japan	North_America/Japan	JAPAN.2B.OAK	0.000307066	Almeida_et_al_2015
ZP793	NA	PRJEB7601	NA	Hirusen_highland_Okayama_Perfecture_Japan	Quercus_dentata	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	0.03	No	No	ZP793	88	North_America/Japan	North_America/Japan	JAPAN.2C.OAK	0.000323445	Almeida_et_al_2015
ZP794	NA	PRJEB7601	NA	Hirusen_highland_Okayama_Perfecture_Japan	Quercus_dentata	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP794	95	North_America/Japan	North_America/Japan	JAPAN.2B.OAK	0.000315136	Almeida_et_al_2015
ZP796	NA	PRJEB7601	NA	Hirusen_highland_Okayama_Perfecture_Japan	Quercus_dentata	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP796	101	North_America/Japan	North_America/Japan	ADMIXED	0.000331206	Almeida_et_al_2015
ZP817	NA	PRJEB7601	NA	Hirusen_highland_Okayama_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP812	75	North_America/Japan	North_America/Japan	ADMIXED	0.000192463	Almeida_et_al_2015
ZP823	NA	PRJEB7601	NA	Hirusen_highland_Okayama_Perfecture_Japan	Quercus_acutissima	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	ZP817	106	North_America/Japan	North_America/Japan	JAPAN.2B.OAK	0.000312456	Almeida_et_al_2015
ZP850	NA	PRJEB7601	NA	Alconorales_Natural_Park_Andaluzia_Spain	Quercus_ilex	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	Yes	ZP850	120	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000252697	Almeida_et_al_2015
ZP851	NA	PRJEB7675	NA	Alconorales_Natural_Park_Andaluzia_Spain	Quercus_ilex	NA	Tree	Yes	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	No	Yes	ZP851	3	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000183821	Almeida_et_al_2015
